dmm_sequence_index,source_sequence_index,side,read_index,t_start_unix,t_end_unix,t_mid_unix,dc_dmm
449,28,pre,1,1784346935.315187,1784346935.5252779,1784346935.4202323,0.551160694
450,28,pre,2,1784346935.5254679,1784346935.725632,1784346935.6255498,0.5685887
451,28,pre,3,1784346935.7258298,1784346935.932319,1784346935.8290744,0.571269932
452,28,pre,4,1784346935.932506,1784346936.137088,1784346936.0347972,0.587357322
453,28,pre,5,1784346936.137277,1784346936.339286,1784346936.2382815,0.5685887
454,28,pre,6,1784346936.339995,1784346936.540535,1784346936.440265,0.576632395
455,28,pre,7,1784346936.540734,1784346936.7430341,1784346936.641884,0.564566853
456,28,post,0,1784346955.444247,1784346955.654377,1784346955.549312,0.525688993
457,28,post,1,1784346955.654678,1784346955.856118,1784346955.755398,0.5685887
458,28,post,2,1784346955.8562949,1784346956.066462,1784346955.9613786,0.556523157
459,28,post,3,1784346956.066705,1784346956.275187,1784346956.1709461,0.53641392
460,28,post,4,1784346956.275407,1784346956.4807732,1784346956.3780901,0.556523157
461,28,post,5,1784346956.48097,1784346956.681856,1784346956.5814128,0.553841926
462,28,post,6,1784346956.682079,1784346956.8869839,1784346956.7845316,0.524348377
463,28,post,7,1784346956.8871732,1784346957.097315,1784346956.9922442,0.527029609
464,29,pre,0,1784346966.460515,1784346966.669662,1784346966.5650885,0.532392072
465,29,pre,1,1784346966.6699462,1784346966.8801448,1784346966.7750454,0.537754535
466,29,pre,2,1784346966.880367,1784346967.0806599,1784346966.9805136,0.532392072
467,29,pre,3,1784346967.080878,1784346967.2868018,1784346967.1838398,0.579313627
468,29,pre,4,1784346967.287013,1784346967.496515,1784346967.3917642,0.531051456
469,29,pre,5,1784346967.4967198,1784346967.7068422,1784346967.601781,0.557863773
470,29,pre,6,1784346967.707038,1784346967.915091,1784346967.8110645,0.557863773
471,29,pre,7,1784346967.9152908,1784346968.117436,1784346968.0163634,0.553841926
472,29,post,0,1784346986.779092,1784346986.9866822,1784346986.8828871,0.52971084
473,29,post,1,1784346986.987772,1784346987.195557,1784346987.0916646,0.553841926
474,29,post,2,1784346987.195853,1784346987.403626,1784346987.2997394,0.549820078
475,29,post,3,1784346987.40389,1784346987.613447,1784346987.5086684,0.533732688
476,29,post,4,1784346987.6136389,1784346987.823794,1784346987.7187164,0.527029609
477,29,post,5,1784346987.8239849,1784346988.024513,1784346987.924249,0.545798231
478,29,post,6,1784346988.0247,1784346988.226277,1784346988.1254885,0.527029609
479,29,post,7,1784346988.226513,1784346988.429327,1784346988.32792,0.543116999
480,30,pre,0,1784347039.503535,1784347039.7106628,1784347039.607099,1.624994
481,30,pre,1,1784347039.711047,1784347039.911716,1784347039.8113813,1.64912508
482,30,pre,2,1784347039.911905,1784347040.1212711,1784347040.0165882,1.64644385
483,30,pre,3,1784347040.121448,1784347040.331615,1784347040.2265315,1.61024722
484,30,pre,4,1784347040.33186,1784347040.534663,1784347040.4332614,1.66119062
485,30,pre,5,1784347040.5349581,1784347040.739049,1784347040.6370034,1.65448754
486,30,pre,6,1784347040.739267,1784347040.9460008,1784347040.842634,1.6504657
487,30,pre,7,1784347040.9462569,1784347041.154807,1784347041.0505319,1.624994
488,30,post,0,1784347059.820322,1784347060.022774,1784347059.921548,1.642422
489,30,post,1,1784347060.023843,1784347060.2291882,1784347060.1265156,1.64510323
490,30,post,2,1784347060.2294059,1784347060.439569,1784347060.3344874,1.62365338
491,30,post,3,1784347060.43979,1784347060.643264,1784347060.541527,1.63437831
492,30,post,4,1784347060.643466,1784347060.8490958,1784347060.746281,1.6504657
493,30,post,5,1784347060.849293,1784347061.054192,1784347060.9517426,1.63035646
494,30,post,6,1784347061.054498,1784347061.255795,1784347061.1551466,1.64376262
495,30,post,7,1784347061.2559931,1784347061.459167,1784347061.3575802,1.62633461
