window_sequence_index,source_sequence_index,window_index,role,direction,grid_index,target_ordinal,pair_position,bias,t_start_unix,t_end_unix,t_mid_unix,dc_board,I1,Q1,I2,Q2,rawadc_version,rawadc_scope,rawadc_expected,rawadc_used,rawadc_read_fail,rawadc_blocks,rawadc_complete,rawadc_timeout,rawadc_gain,rawadc_fs_uv,rawadc_guard,rawadc_crc,rawadc_ch0_min,rawadc_ch0_max,rawadc_ch0_rail_lo,rawadc_ch0_rail_hi,rawadc_ch0_guard_lo,rawadc_ch0_guard_hi,rawadc_windows
73,126,1,formal,down,65,63,0,4.078600476513591,1784283149.05541,1784283150.088127,1784283149.5717683,0.921715,-0.361251,-0.611901,-0.000577,0.002899,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-5078201,5227505,0,0,0,0,1
74,126,2,formal,down,65,63,0,4.078600476513591,1784283150.08832,1784283151.116771,1784283150.6025455,0.920487,-0.361203,-0.61183,-0.000577,0.002831,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-5055336,5218020,0,0,0,0,1
75,126,3,formal,down,65,63,0,4.078600476513591,1784283151.117013,1784283152.150553,1784283151.6337829,0.919725,-0.361459,-0.612254,-0.000479,0.002923,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-5034841,5158400,0,0,0,0,1
76,127,0,formal,up,65,63,1,4.078600476513591,1784283161.160295,1784283162.1828449,1784283161.6715698,0.909347,-0.361634,-0.613025,-0.000398,0.002761,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-5058300,5185331,0,0,0,0,1
77,127,1,formal,up,65,63,1,4.078600476513591,1784283162.183049,1784283163.2103639,1784283162.6967063,0.908891,-0.361913,-0.613302,-0.000431,0.002733,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-5066091,5154420,0,0,0,0,1
78,127,2,formal,up,65,63,1,4.078600476513591,1784283163.210619,1784283164.2390301,1784283163.7248244,0.907936,-0.361746,-0.613223,-0.000344,0.002772,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-5054573,5217428,0,0,0,0,1
79,127,3,formal,up,65,63,1,4.078600476513591,1784283164.2392771,1784283165.277431,1784283164.7583542,0.906507,-0.361655,-0.612944,-0.000347,0.002805,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-5086162,5183976,0,0,0,0,1
80,128,0,formal,up,72,64,0,4.992474809921282,1784283180.0768902,1784283181.0944152,1784283180.5856528,0.457415,-0.323861,-0.547111,0.002952,-0.003436,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-4563809,4578376,0,0,0,0,1
81,128,1,formal,up,72,64,0,4.992474809921282,1784283181.094631,1784283182.120807,1784283181.607719,0.456047,-0.323344,-0.546454,0.00295,-0.003464,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-4599802,4606153,0,0,0,0,1
82,128,2,formal,up,72,64,0,4.992474809921282,1784283182.121047,1784283183.151505,1784283182.636276,0.455334,-0.323378,-0.54642,0.002982,-0.003445,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-4565757,4570415,0,0,0,0,1
